frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
2,174.7538030423167,629.1136909523401,390.9130032607465,459.5,781.0
3,84.76804569668901,305.16496450808046,189.62065916135046,458.5,782.0
4,643.4838327747419,2316.541797989071,1439.431893558267,468.0,777.0
5,174.7538030423167,629.1136909523401,390.9130032607465,470.5,775.5
6,978.5111518869835,3522.6401467931405,2188.8664306530004,458.0,786.0
7,524.2614091269501,1887.3410728570202,1172.7390097822395,453.5,793.5
8,191.90182529768776,690.846571071676,429.27202471337836,451.5,796.0
9,123.56959916936046,444.85055700969764,276.41723545967284,451.0,798.0
10,84.76804569668901,305.16496450808046,189.62065916135046,450.0,799.0
11,0.0,0.0,0.0,450.0,799.0
12,108.05847978413554,389.01052722288796,241.71986031101312,451.5,800.0
13,402.090145804158,1447.5245248949689,899.4497615585117,457.5,803.0
14,127.1520685450335,457.7474467621206,284.43098874202565,456.0,804.5
15,89.91008991008991,323.6763236763237,201.12308091908093,456.0,806.0
16,1267.6295294239721,4563.4663059263,2835.605621979731,477.0,808.5
17,161.39355066337174,581.0167823881383,361.02697908929986,476.0,806.0
18,335.075121503465,1206.2704374124742,749.5414679654265,470.5,807.0
19,839.6958477195944,3022.9050517905403,1878.3455349361398,482.0,815.0
20,483.25221268522773,1739.70796566682,1081.0040783343577,486.0,822.0
21,749.2507492507492,2697.302697302697,1676.0256743256743,473.5,822.0
22,394.1941989400371,1419.0991161841337,881.7870369224513,467.0,821.0
23,119.88011988011988,431.56843156843155,268.1641078921079,465.0,821.0
24,108.05847978413554,389.01052722288796,241.71986031101312,463.5,820.0
25,149.85014985014985,539.4605394605395,335.2051348651349,465.0,822.0
26,282.73669726443364,1017.8521101519611,632.4637835372342,467.5,826.0
27,0.0,0.0,0.0,467.5,826.0
28,0.0,0.0,0.0,467.5,826.0
29,0.0,0.0,0.0,467.5,826.0
30,0.0,0.0,0.0,467.5,826.0
31,0.0,0.0,0.0,467.5,826.0
32,0.0,0.0,0.0,467.5,826.0
33,0.0,0.0,0.0,467.5,826.0
34,0.0,0.0,0.0,467.5,826.0
35,0.0,0.0,0.0,467.5,826.0
36,1420.0229059519042,5112.082461426856,3176.499791139267,491.0,829.0
37,123.56959916936046,444.85055700969764,276.41723545967284,493.0,828.5
38,211.92011424172253,762.9124112702011,474.05164790337614,496.5,828.0
39,149.85014985014985,539.4605394605395,335.2051348651349,498.5,826.5
40,29.97002997002997,107.89210789210789,67.04102697302697,498.5,826.0
41,152.8177676401434,550.1439635045163,341.8435047467648,496.0,825.5
42,276.3100236950915,994.7160853023295,618.0877286403937,500.5,824.5
43,149.85014985014985,539.4605394605395,335.2051348651349,502.0,822.5
44,152.8177676401434,550.1439635045163,341.8435047467648,504.5,823.0
45,254.304137090067,915.4948935242412,568.8619774840513,507.5,820.0
46,502.3892491780283,1808.601297040902,1123.8123965436023,515.5,817.5
47,182.30057533361295,656.2820712010066,407.7946468642407,518.5,817.0
48,29.97002997002997,107.89210789210789,67.04102697302697,518.0,817.0
49,59.94005994005994,215.78421578421577,134.08205394605395,518.0,816.0
50,161.39355066337174,581.0167823881383,361.02697908929986,519.0,813.5
51,182.30057533361295,656.2820712010066,407.7946468642407,518.5,816.5
52,257.8119460652136,928.123005834769,576.7087202585562,522.0,819.0
53,256.0640483112147,921.830573920373,572.7987855474761,520.5,823.0
54,257.8119460652136,928.123005834769,576.7087202585562,524.0,825.5
55,276.3100236950915,994.7160853023295,618.0877286403937,525.0,830.0
56,174.7538030423167,629.1136909523401,390.9130032607465,526.5,832.5
57,257.8119460652136,928.123005834769,576.7087202585562,529.0,836.0
58,473.86778124401286,1705.9240124784462,1060.0117095577446,522.5,831.5
59,189.54711249760516,682.3696049913785,424.0046838230979,523.5,828.5
60,134.030048601386,482.5081749649896,299.8165871861706,524.5,830.5
61,228.24494822768958,821.6818136196825,510.56925021067576,528.0,829.0
62,169.53609139337803,610.3299290161609,379.2413183227009,530.0,831.0
63,0.0,0.0,0.0,530.0,831.0
64,201.045072902079,723.7622624474844,449.72488077925584,528.5,828.0
65,234.07341686033928,842.6643006972214,523.6071591885332,531.0,825.0
66,282.73669726443364,1017.8521101519611,632.4637835372342,527.0,822.5
67,174.7538030423167,629.1136909523401,390.9130032607465,524.5,824.0
68,552.620047390183,1989.432170604659,1236.1754572807874,515.5,822.0
69,399.8500718519381,1439.460258666977,894.4388603881582,509.0,820.5
70,341.71091661312823,1230.1592998072617,764.3853142805381,514.5,822.0
71,134.030048601386,482.5081749649896,299.8165871861706,512.5,823.0
72,108.05847978413554,389.01052722288796,241.71986031101312,511.0,824.0
73,419.5804195804196,1510.4895104895104,938.5743776223776,504.0,824.0
74,257.8119460652136,928.123005834769,576.7087202585562,506.5,827.5
75,247.13919833872092,889.7011140193953,552.8344709193457,502.5,828.5
76,843.9637067130103,3038.269344166837,1887.8924606542917,516.0,832.5
77,350.7902071144743,1262.8447456121075,784.6951024257409,510.5,834.5
78,312.89629896834816,1126.4266762860534,699.9288702705413,505.5,833.0
79,218.1851115668487,785.4664016406552,488.06604345385557,502.0,832.0
80,480.45613012631566,1729.6420684547363,1074.749421717788,494.0,831.5
81,588.8176634681868,2119.7435884854726,1317.1471933208065,484.5,834.0
82,458.45330292043025,1650.431890513549,1025.5305142402945,492.0,835.5
83,329.6703296703297,1186.813186813187,737.4512967032969,492.0,841.0
84,751.6445277113559,2705.9202997608813,1681.3804025827187,503.5,836.0
85,149.85014985014985,539.4605394605395,335.2051348651349,502.0,834.0
86,691.9118709659458,2490.882735477405,1547.7622962263306,491.0,837.5
87,0.0,0.0,0.0,491.0,837.5
88,0.0,0.0,0.0,491.0,837.5
89,1327.506568852154,4779.023647867754,2969.5467030992345,471.5,848.0
90,174.7538030423167,629.1136909523401,390.9130032607465,469.0,849.5
91,127.1520685450335,457.7474467621206,284.43098874202565,467.5,851.0
92,515.6238921304272,1856.246011669538,1153.4174405171125,460.5,856.0
93,576.4850368133269,2075.346132527977,1289.5599017150414,452.0,860.5
94,295.17056349039274,1062.614028565414,660.2775415437198,456.5,862.5
95,1404.7602371937621,5057.136853897544,3142.3581840431707,433.5,867.0
96,257.8119460652136,928.123005834769,576.7087202585562,430.0,869.5
97,770.5270808500964,2773.897491060347,1723.6194579176588,417.5,872.5
98,657.2940719119273,2366.258658882938,1470.3245091287502,407.5,877.0
99,445.5365258936615,1603.9314932171815,996.6365158718532,400.5,879.5
100,988.5567933548837,3558.804456077581,2211.3378836773827,384.5,883.5
101,536.120194405544,1930.0326998599585,1199.2663487446823,376.5,887.5
102,509.49050949050945,1834.165834165834,1139.6974585414584,369.0,891.5
103,835.9435972616195,3009.3969501418305,1869.9519923065793,355.5,895.0
104,858.2110527438374,3089.5597898778146,1919.7628561961676,341.5,898.0
105,778.0672319129172,2801.0420348865023,1740.486290259461,329.0,901.5
106,218.1851115668487,785.4664016406552,488.06604345385557,332.5,902.5
107,1745.4808925347895,6283.731213125242,3904.5283476308446,304.5,910.5
108,599.4005994005994,2157.842157842158,1340.8205394605395,296.5,916.5
109,712.3794799603224,2564.566127857161,1593.547019432732,292.0,927.5
110,617.8479958468023,2224.2527850484885,1382.0861772983644,282.0,930.0
111,975.7534822836986,3512.712536221315,2182.6977013443748,266.0,933.0
112,804.180291608316,2895.0490497899377,1798.8995231170234,260.0,945.0
113,1170.3670843016964,4213.321503486107,2618.0357959426656,241.0,949.5
114,635.7603427251676,2288.7372338106034,1422.1549437101285,230.5,951.0
115,632.2184748170525,2275.986509341389,1414.2320132959683,221.5,956.5
116,473.86778124401286,1705.9240124784462,1060.0117095577446,217.0,963.0
117,487.8767411418493,1756.3562681106575,1091.3488506721874,211.5,969.0
118,349.5076060846334,1258.2273819046802,781.826006521493,216.5,972.0
119,1547.161977918918,5569.783120508105,3460.9017073732416,198.5,990.5
120,0.0,0.0,0.0,198.5,990.5
121,0.0,0.0,0.0,198.5,990.5
122,0.0,0.0,0.0,198.5,990.5
123,0.0,0.0,0.0,198.5,990.5
124,0.0,0.0,0.0,198.5,990.5
125,0.0,0.0,0.0,198.5,990.5
126,0.0,0.0,0.0,198.5,990.5
127,0.0,0.0,0.0,198.5,990.5
128,0.0,0.0,0.0,198.5,990.5
129,0.0,0.0,0.0,198.5,990.5
130,0.0,0.0,0.0,198.5,990.5
131,3140.4244309521846,11305.527951427865,7024.927208706684,246.5,1011.5
132,381.45620563510056,1373.2423402863622,853.2929662260772,251.0,1007.0
133,0.0,0.0,0.0,251.0,1007.0
134,0.0,0.0,0.0,251.0,1007.0
135,0.0,0.0,0.0,251.0,1007.0
136,0.0,0.0,0.0,251.0,1007.0
137,0.0,0.0,0.0,251.0,1007.0
138,0.0,0.0,0.0,251.0,1007.0
139,0.0,0.0,0.0,251.0,1007.0
140,0.0,0.0,0.0,251.0,1007.0
141,0.0,0.0,0.0,251.0,1007.0
142,0.0,0.0,0.0,251.0,1007.0
143,0.0,0.0,0.0,251.0,1007.0
144,0.0,0.0,0.0,251.0,1007.0
